Date,Fixing,Price Type,FX Version,Index ISIN_CPi,Index ISIN_TRi,Index Name,ISIN,CUSIP,Identifier,Local 1,Local 2,Ticker,Issuer,Issuer Country,Coupon,Workout date,Final Maturity,Expected Remaining Life,YTM,Next Call Date,Next Coupon Date,Coupon Frequency,Bid Price,Ask Price,Bid_Ask_Spread,PV,Accrued Interest,Dirty Index Price,Ex-Dividend,Coupon Payment,Coupon Adjustment,Current Redemption Payment,Redemption Factor,PIK Factor,Notional Amount,Capped Notional Amount,MVal,Capped Market Value,Cash Payment,Capped Cash Payment,Street Yield,Yield,Semi-Annual Yield,Street Yield to Maturity,Annual Yield to Maturity,Semi-Annual Yield to Maturity,Simple Margin,Discount Margin,Duration,Street Modified Duration,AMDuration,Semi-Annual Modified Duration,Street Modified Duration to Maturity,Annual Modified Duration to Maturity,Semi-Annual Modified Duration to Maturity,Effective OA duration,Street Convexity,Annual Convexity,Semi-Annual Convexity,Street Convexity to Maturity,Annual Convexity to Maturity,Semi-Annual Convexity to Maturity,OA Convexity,Benchmark ISIN,Annual Benchmark Spread,Semi-Annual Benchmark Spread,Annual Benchmark Spread to BM-Curve,Semi-Annual Benchmark Spread to BM-Curve,Asset Swap Spread,Curr. Spread,OAS,Z-Spread,Z-Spread Over RFR,Z-Spread Over Euribor,DV 01,Index Ratio,Assumed Inflation,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Rating,Seniority Level 1,Seniority Level 2,Seniority Level 3,Is Fixed to Float,Is Perpetual,Is Hybrid Capital,CALL,Is Core index,Is Crossover,Is FRN,Is PIK,Is Zero Coupon,Is Sinking,1-3 Years,1-5 Years,1-10 Years,1-15 Years,1-20 Years,3-5 Years,5-7 Years,5-10 Years,5-15 Years,7-10 Years,10-15 Years,15-20 Years,15-25 Years,20-25 Years,25-30 Years,5+ Years,7+ Years,10+ Years,15+ Years,25+ Years,30+ Years,Daily Return,Month-to-Date Return,Quarter-to-Date Return,Year-to-Date Return,Daily Sovereign Curve Swap Return,Daily Excess Return over RFR,Daily Excess Return over Euribor,Month-to-date Sovereign Curve Swap Return,Month-to-Date Excess Return over RFR,Month-to-Date Excess Return over Euribor,Duration weighted exposure,IG,Sector,Subsector,FNF,Sen2,Tier,MaturityB,RatingB,RevRat,SBR,MVal*Duration,EM,SecDes,Callable,CE,CI,CI_,ESG_SCORE,ESG_RATING,WARF,CS,CS_,DV01,SRC,Seniority,AvPAL,Decarb
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1109744778,EK4655081,BBEK4655081,,,TCLAU,Transurban Finance Company Pty Ltd,AUSTRALIA,1.875,2024-06-14,2024-09-16,2.5643835619999997,2.5643835619999997,2024-06-14,2022-09-16,1,102.9464,103.15516,0.20875999999999803,102.9464,0.816780822,103.76318082200001,1,0.0,0,0,1,1,600000000,600000000,622579084.9319999,622579084.9319999,0.0,0.0,0.5856299779999999,0.5856299779999999,0.584775073,0.710803423,0.710803423,0.7095447890000001,,,2.262850584,2.249675808,2.249675808,2.25625358,2.492797985,2.492797985,2.501641744,2.335274089,7.359510505,7.359510505,6.277772101,8.774983628,8.774983628,7.590957519,5.537729074,DE0001102366,92.4479511,92.3912141,91.4249187066386,91.3667897674436,52.831945213999994,35.203044286,96.87129441399999,106.57812323600001,59.728723276000004,41.500293246999995,0.024231547000000003,,,EUR,Corporates,Non-Financials,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,*,*,BBB,SEN,*,*,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00154241393289989,-0.00801997669524081,-0.012295193598984,-0.012295193598984,-0.00120837933745871,-0.000522522132536285,-0.000536004167423075,-0.00396499502000003,-0.0023551667952407397,-0.00113165667524086,0.000110721468250191,IG,Industrials,Transportation,NF,SEN,,1y-3y,BBB,8,BBB+,1408803445.9245617,False,TCLAU 1 ⅞ 09/16/24,True,0.14367,3.31,57.7,9.1,AAA,260,0.0008880257182285104,0.015480085783016632,0.14088034459245619,0.0562418952,Sen,72.7,945
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1111559925,EK4884269,BBEK4884269,,,TTEFP,TotalEnergies Capital Canada Ltd,CANADA,2.125,2029-09-18,2029-09-18,7.569863014,7.569863014,,2022-09-18,1,105.47993000000001,106.01055,0.530619999999999,105.47993000000001,0.9140410959999999,106.393971096,1,0.0,0,0,1,1,1500000000,1500000000,1595909566.44,1595909566.44,0.0,0.0,1.357853246,1.357853246,1.353274864,1.357853246,1.357853246,1.353274864,,,7.029525419,6.935353496,6.935353496,6.982280694,6.935353496,6.935353496,6.982280694,7.025433271,57.308298938,57.308298938,54.618784786999996,57.308298938,57.308298938,54.618784786999996,51.805120052,DE0001102499,124.05834660000001,123.60394440000002,126.117897928218,125.66254686520399,89.95150674899999,64.274552132,127.387050289,127.39141076,89.664875167,63.783077751,0.074746374,,,EUR,Corporates,Non-Financials,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas,*,*,A,SEN,*,*,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,-0.00680153666581065,-0.0327947329047967,-0.0524547522375688,-0.0524547522375688,-0.0036321292795111295,-0.0039819282590284,-0.0035885721296258204,-0.01996742415,-0.00925574805479668,-0.00490086399479661,0.00088168959317164,IG,Energy,Energy,NF,SEN,,7y-10y,A,5,A+,11218486863.71525,False,TTEFP 2 ⅛ 09/18/29,False,45.0,234.65,254.2,7.0,A,70,0.1573831078416314,0.17049557218556446,1.121848686371525,0.083547474472,Sen,158.1240372900001,245
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1112678989,EK4935871,BBEK4935871,,,KO,The Coca-Cola Company,UNITED STATES,1.875,2026-09-22,2026-09-22,4.580821918,4.580821918,,2022-09-22,1,106.06188999999999,106.39697,0.335079999999991,106.06188999999999,0.785958904,106.847848904,1,0.0,0,0,1,1,856988000,856988000,915673243.3654119,915673243.3654119,0.0,0.0,0.531716259,0.531716259,0.531011327,0.531716259,0.531716259,0.531011327,,,4.406801261,4.383493513,4.383493513,4.3951319369999995,4.383493513,4.383493513,4.3951319369999995,4.405626279,24.062826539,24.062826539,21.999025743,24.062826539,24.062826539,21.999025743,19.904203995,DE0001135044,60.1701866,60.1009183,66.22513908247811,66.1600266867496,21.054506564,-3.060853111,64.810162106,64.816267396,21.137327785,-2.98201799,0.047073169000000005,,,EUR,Corporates,Non-Financials,Consumer Goods,Food & Beverage,Beverages,Soft Drinks,*,*,A,SEN,*,*,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00385500504288029,-0.0172229629118535,-0.0225590746801474,-0.0225590746801474,-0.00240886994181063,-0.00165456978144338,-0.00162901550003401,-0.010675781990000001,-0.00363039515185355,-0.000747625481853538,0.000317135909307599,IG,Consumer Staples,"Food, Beverage & Tobacco",NF,SEN,,3y-5y,A,5,A+,4035190003.526657,False,KO 1 ⅞ 09/22/26,False,1.55594,5.51,41.7,8.1,AA,70,0.0021114103157174285,0.015979275892090156,0.4035190003526657,0.061368909182,Sen,263.4979820729999,116
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1112850125,741503AU0,BBEK4733516,,,BKNG,Booking Holdings Inc,UNITED STATES,2.375,2024-06-23,2024-09-23,2.583561644,2.583561644,2024-06-23,2022-09-23,1,104.44714,104.65429,0.207149999999999,104.44714,0.9890410959999999,105.436181096,1,0.0,0,0,1,1,1000000000,1000000000,1054361810.96,1054361810.96,0.0,0.0,0.45359614200000004,0.45359614200000004,0.453082931,0.633397423,0.633397423,0.6323976060000001,,,2.276167695,2.265889707,2.265889707,2.271022887,2.500536676,2.500536676,2.5084433440000002,2.315977261,7.467300787,7.467300787,6.368227322,8.843689848,8.843689848,7.649437213,5.455490932000001,DE0001102366,79.2445675,79.2219999,77.9977467731433,77.9734827472529,39.542487154,21.749610327,84.684994775,98.65032065,51.7764853,33.466632373,0.02441878,,,EUR,Corporates,Non-Financials,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism,*,*,A,SEN,*,*,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013623141844204,-0.00716628280904776,-0.008800476391640829,-0.008800476391640829,-0.00122156821380746,-0.000321141330580379,-0.00033696651352231404,-0.00402402062999996,-0.00140562233904775,-0.000176184189047762,0.000188614620260846,IG,Consumer Discretionary,Retailing,NF,SEN,,1y-3y,A,7,A-,2399904292.9488487,False,BKNG 2 ⅜ 09/23/24,True,0.044367,0.43,6.5,4.9,BBB,180,0.0001922714294251055,0.00290642858433299,0.23999042929488487,0.031722455898,Sen,0.0,479
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1028941893,EK5319257,BBEK5319257,,,MRK,Merck & Co Inc,UNITED STATES,2.5,2034-07-15,2034-10-15,12.643835615999999,12.643835615999999,2034-07-15,2022-10-15,1,111.21958000000001,112.01258,0.7930000000000059,111.21958000000001,0.8904109590000001,112.109990959,1,0.0,0,0,1,1,500000000,500000000,560549954.795,560549954.795,0.0,0.0,1.5009104580000001,1.5009104580000001,1.495320499,1.517708639,1.517708639,1.51199333,,,10.820695974000001,10.660688583999999,10.660688583999999,10.740394315,10.847615125999999,10.847615125999999,10.929622735,10.883389527,134.379647787,134.379647787,131.066221681,139.167594535,139.167594535,135.855945577,124.836746028,DE0001135226,128.9133958,128.3656004,128.322604230926,127.775587454486,85.052803777,62.021609938000005,127.739152699,129.832859942,84.040146807,61.129495582,0.12201367,,,EUR,Corporates,Non-Financials,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,*,*,A,SEN,*,*,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,-0.0111241763597868,-0.0525120582795155,-0.0741738378427177,-0.0741738378427177,-0.00461794203164045,-0.00759593407296591,-0.0064305054894573,-0.03134022523,-0.0125175054595155,-0.008048757819515459,0.000476706361865098,IG,Health Care,Pharmaceuticals & Biotechnology,NF,SEN,,Greater than 10y,A,5,A+,6065540639.0761385,False,MRK 2 ½ 10/15/34,True,1.16889,4.86,25.0,6.7,A,70,0.00108655714768141,0.005589285739101903,0.6065540639076138,0.10830344291999999,Sen,463.309527168,372
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1135277140,EK5809224,BBEK5809224,,,RDSALN,Shell International Finance BV,NETHERLANDS,1.625,2027-01-20,2027-01-20,4.909589041,4.909589041,,2023-01-20,1,103.65544,104.01043,0.354990000000001,103.65544,0.146917808,103.802357808,1,0.0,0,0,1,1,1250000000,1250000000,1297529472.6,1297529472.6,0.0,0.0,0.8612754229999999,0.8612754229999999,0.859428878,0.8612754229999999,0.8612754229999999,0.859428878,,,4.75557869,4.714969814,4.714969814,4.73523072,4.714969814,4.714969814,4.73523072,4.75411161,27.337801166,27.337801166,25.215770021999997,27.337801166,27.337801166,25.215770021999997,23.043474847,DE0001135044,93.126103,92.9426734,96.6316018085022,96.4505782583455,51.932378643999996,27.576782789,94.520683294,94.52219429799999,52.253212498,27.573081298,0.049348799000000006,,,EUR,Corporates,Non-Financials,Oil & Gas,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas,*,*,AA,SEN,*,*,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00562630245280837,-0.0197175353129797,-0.0272667410379316,-0.0272667410379316,-0.0025713630793836,-0.0033884638179455103,-0.0033717731697395,-0.0117653439299999,-0.00500712485297975,-0.0020156890629797,0.000484955662477984,IG,Energy,Energy,NF,SEN,,3y-5y,AA,4,AA-,6170503509.543499,False,RDSALN 1 ⅝ 01/20/27,False,72.0,286.76,398.8,7.7,AA,40,0.1602783578544862,0.2229007152753839,0.6170503509543499,0.051864667954,Sen,434.6368682420001,353
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1140300663,EK5865325,BBEK5865325,,,VERAV,Verbund AG,AUSTRIA,1.5,2024-11-20,2024-11-20,2.7424657530000003,2.7424657530000003,,2022-11-20,1,103.00295,103.23069,0.22773999999999697,103.00295,0.38630137,103.38925137,1,0.0,0,0,1,1,500000000,500000000,516946256.85,516946256.85,0.0,0.0,0.396672711,0.396672711,0.396280116,0.396672711,0.396672711,0.396280116,,,2.69912582,2.688461428,2.688461428,2.693788347,2.688461428,2.688461428,2.693788347,2.6998399689999997,9.975501839,9.975501839,8.670841218,9.975501839,9.975501839,8.670841218,7.359901488999999,DE0001102366,73.5522244,73.54171840000001,70.4511574696568,70.43643215398829,24.886845917,5.65063393,72.73071988,72.724817016,25.029351534,5.6670627620000005,0.027913443,,,EUR,Corporates,Non-Financials,Utilities,Utilities,Electricity,Alternative Electricity,*,*,A,SEN,*,*,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015593364123669801,-0.008039543594101941,-0.0113419831602883,-0.0113419831602883,-0.0014413498060328802,-0.000176171791728053,-0.000199768896473218,-0.00506133481999993,-0.000733545504101955,0.000702725285898017,0.000109660432822588,IG,Utilities,Utilities,NF,SEN,,1y-3y,A,7,A-,1395302989.4161868,False,VERAV 1 ½ 11/20/24,False,1.465,45.4,335.1,9.3,AAA,180,0.010150142902209057,0.07491878604692191,0.13953029894161867,0.037638459991999995,Sen,131.0,931
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1140860534,EK5882387,BBEK5882387,,,ASSGEN,Assicurazioni Generali SpA,ITALY,4.596,2025-11-21,,3.7452054789999996,3.7452054789999996,,2022-11-21,1,103.08466,103.85372,0.769059999999996,103.08466,1.171035616,104.255695616,1,0.0,0,0,1,1,1500000000,1500000000,1563835434.24,1563835434.24,0.0,0.0,3.6943899589999996,3.6943899589999996,3.660884766,3.6943899589999996,3.6943899589999996,3.660884766,,,3.4938172560000003,3.369340672,3.369340672,3.431014512,3.369340672,3.369340672,3.431014512,3.493045065,15.093174465999999,15.093174465999999,13.966104852,15.093174465999999,15.093174465999999,13.966104852,12.731677564000002,DE0001030716,389.86467930000003,386.5246008,388.972370514496,385.63167956544703,344.769687678,321.724820616,390.863157998,390.86833918599996,344.25031658800003,321.644673005,0.036416984,,,EUR,Corporates,Financials,Core Financials,Insurance,Nonlife Insurance,Full Line Insurance,*,*,BBB,SUB,T1,*,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00754338360836366,-0.0442989381324671,-0.06542120520405699,-0.06542120520405699,-0.00197701652471151,-0.005519479777730121,-0.005548852388235661,-0.0079759198399999,-0.0335499613224671,-0.0311678358924671,0.000429410506127241,IG,Financials,Insurance,F,SUB,T1,3y-5y,BB,11,BB+,5463755225.691966,False,ASSGEN 4.596 PERP,True,0.058393,1.27,0.6,8.0,AA,940,0.0008518071466391301,0.00040242857321533704,0.5463755225691966,0.15162033024,Sub,0.0,75
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1146282634,EK6230040,BBEK6230040,,,VZ,Verizon Communications Inc,UNITED STATES,1.625,2024-03-01,2024-03-01,2.019178082,2.019178082,,2022-03-01,1,102.82825,102.95917,0.130920000000003,102.82825,1.593835616,104.422085616,1,0.0,0,0,1,1,684827000,684827000,715110636.261484,715110636.261484,0.0,0.0,0.21964360800000002,0.21964360800000002,0.21952313199999998,0.21964360800000002,0.21964360800000002,0.21952313199999998,,,1.972528625,1.968205587,1.968205587,1.97036592,1.968205587,1.968205587,1.97036592,1.97380609,5.912989925,5.912989925,4.9418746360000005,5.912989925,5.912989925,4.9418746360000005,3.9716345310000003,DE0001141794,63.5362576,63.5675056,65.16367577481451,65.1988752509255,23.732909698,5.151915257,64.937126247,64.918616478,23.615946549,5.184109974,0.020610895,,,EUR,Corporates,Non-Financials,Telecommunications,Telecommunications,Integrated Telecommunications,Integrated Telecommunications,*,*,BBB,SEN,*,*,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00131215461053391,-0.00529458860220987,-0.007377985793857841,-0.007377985793857841,-0.00105533835641245,-0.000568517374002963,-0.000510583503053452,-0.00330815584999999,-0.000784219612209857,0.000473932457790162,0.000110860793535167,IG,Communication Services,Telecommunication Services,NF,SEN,,1y-3y,BBB,8,BBB+,1410576200.0677402,False,VZ 1 ⅝ 03/01/24,False,4.365627,11.05,33.1,7.1,A,260,0.0033836813058091145,0.010135733142287936,0.14105762000677402,0.049205139675,Sen,3.408376542000383,264
2022-02-22,EU_EOD,Nominal,,DE0009682708,DE0009682716,iBoxx € Overall,XS1150695192,EK6282918,BBEK6282918,,,VLVY,Volvo Treasury AB,SWEDEN,4.85,2023-03-10,2078-03-10,1.043835616,1.043835616,,2022-03-10,1,103.28593000000001,103.96677,0.680840000000003,103.28593000000001,4.63739726,107.92332726,1,0.0,0,0,1,1,600000000,600000000,647539963.56,647539963.56,0.0,0.0,1.647436634,1.647436634,1.640706837,1.647436634,1.647436634,1.640706837,,,0.9989284829999999,0.982738489,0.982738489,0.990800418,0.982738489,0.982738489,0.990800418,0.998241752,1.9740972959999998,1.9740972959999998,1.515250054,1.9740972959999998,1.9740972959999998,1.515250054,1.0393212440000001,DE0001104842,219.93937519999997,219.34277059999997,219.93937519999997,219.34277059999997,208.175451106,194.39640535900003,221.974627832,221.97463895099997,203.73758094599998,190.58670387700002,0.010773356999999999,,,EUR,Corporates,Non-Financials,Industrials,Industrial Goods & Services,Industrial Engineering,Commercial Vehicles & Trucks,*,*,BBB,SUB,Other,Hybrid,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00131579739347762,-0.00804779353625967,-0.009158696069590971,-0.009158696069590971,-0.000543668137502625,-0.00118139818849271,-0.00121381326991029,-0.00152613688000003,-0.00707388178625973,-0.0067080609462597,5.08372914786057e-05,IG,Industrials,Capital Goods,NF,SUB,,1y-3y,BBB,9,BBB,646846113.480866,False,VLVY 4.85 03/10/2078,True,0.27,4.03,6.6,7.7,AA,360,0.0010811914333718723,0.001770685722147483,0.06468461134808659,0.024568462225000004,Sub,55.90000000000001,874
